,fold,layer_size,momentum_value,activation_value,feature_number,score
360,0,100,0,logistic,37,0.7982261640798226
361,1,100,0,logistic,37,0.7955555555555556
362,2,100,0,logistic,37,0.8226164079822617
363,3,100,0,logistic,37,0.8333333333333334
364,4,100,0,logistic,37,0.8403547671840355
365,5,100,0,logistic,37,0.7955555555555556
366,6,100,0,logistic,37,0.8048780487804879
367,7,100,0,logistic,37,0.7888888888888889
368,8,100,0,logistic,37,0.7982261640798226
369,9,100,0,logistic,37,0.7866666666666666
370,0,100,0,logistic,38,0.7937915742793792
371,1,100,0,logistic,38,0.8044444444444444
372,2,100,0,logistic,38,0.8203991130820399
373,3,100,0,logistic,38,0.8111111111111111
374,4,100,0,logistic,38,0.8292682926829268
375,5,100,0,logistic,38,0.7866666666666666
376,6,100,0,logistic,38,0.7982261640798226
377,7,100,0,logistic,38,0.8177777777777778
378,8,100,0,logistic,38,0.8226164079822617
379,9,100,0,logistic,38,0.7844444444444445
380,0,100,0,logistic,39,0.8004434589800443
381,1,100,0,logistic,39,0.8111111111111111
382,2,100,0,logistic,39,0.7849223946784922
383,3,100,0,logistic,39,0.7733333333333333
384,4,100,0,logistic,39,0.8181818181818182
385,5,100,0,logistic,39,0.7955555555555556
386,6,100,0,logistic,39,0.8137472283813747
387,7,100,0,logistic,39,0.7844444444444445
388,8,100,0,logistic,39,0.7960088691796009
389,9,100,0,logistic,39,0.8044444444444444
390,0,100,0,logistic,40,0.8203991130820399
391,1,100,0,logistic,40,0.8133333333333334
392,2,100,0,logistic,40,0.7960088691796009
393,3,100,0,logistic,40,0.8288888888888889
394,4,100,0,logistic,40,0.7982261640798226
395,5,100,0,logistic,40,0.7844444444444445
396,6,100,0,logistic,40,0.8181818181818182
397,7,100,0,logistic,40,0.7977777777777778
398,8,100,0,logistic,40,0.811529933481153
399,9,100,0,logistic,40,0.7844444444444445
400,0,100,0,logistic,41,0.7804878048780488
401,1,100,0,logistic,41,0.8222222222222222
402,2,100,0,logistic,41,0.8070953436807096
403,3,100,0,logistic,41,0.8088888888888889
404,4,100,0,logistic,41,0.8093126385809313
405,5,100,0,logistic,41,0.8111111111111111
406,6,100,0,logistic,41,0.8203991130820399
407,7,100,0,logistic,41,0.7977777777777778
408,8,100,0,logistic,41,0.8248337028824834
409,9,100,0,logistic,41,0.7888888888888889
410,0,100,0,logistic,42,0.8048780487804879
411,1,100,0,logistic,42,0.8
412,2,100,0,logistic,42,0.8159645232815964
413,3,100,0,logistic,42,0.7933333333333333
414,4,100,0,logistic,42,0.8070953436807096
415,5,100,0,logistic,42,0.8155555555555556
416,6,100,0,logistic,42,0.8159645232815964
417,7,100,0,logistic,42,0.8066666666666666
418,8,100,0,logistic,42,0.8226164079822617
419,9,100,0,logistic,42,0.7977777777777778
420,0,100,0,logistic,43,0.8093126385809313
421,1,100,0,logistic,43,0.8133333333333334
422,2,100,0,logistic,43,0.7871396895787139
423,3,100,0,logistic,43,0.82
424,4,100,0,logistic,43,0.802660753880266
425,5,100,0,logistic,43,0.8088888888888889
426,6,100,0,logistic,43,0.8203991130820399
427,7,100,0,logistic,43,0.7911111111111111
428,8,100,0,logistic,43,0.7960088691796009
429,9,100,0,logistic,43,0.7977777777777778
430,0,100,0,logistic,44,0.8093126385809313
431,1,100,0,logistic,44,0.8266666666666667
432,2,100,0,logistic,44,0.811529933481153
433,3,100,0,logistic,44,0.82
434,4,100,0,logistic,44,0.7982261640798226
435,5,100,0,logistic,44,0.8088888888888889
436,6,100,0,logistic,44,0.7960088691796009
437,7,100,0,logistic,44,0.8044444444444444
438,8,100,0,logistic,44,0.811529933481153
439,9,100,0,logistic,44,0.8088888888888889
440,0,100,0,logistic,45,0.7982261640798226
441,1,100,0,logistic,45,0.8244444444444444
442,2,100,0,logistic,45,0.8070953436807096
443,3,100,0,logistic,45,0.8155555555555556
444,4,100,0,logistic,45,0.8004434589800443
445,5,100,0,logistic,45,0.8111111111111111
446,6,100,0,logistic,45,0.802660753880266
447,7,100,0,logistic,45,0.8044444444444444
448,8,100,0,logistic,45,0.8181818181818182
449,9,100,0,logistic,45,0.7688888888888888
450,0,100,0,logistic,46,0.802660753880266
451,1,100,0,logistic,46,0.8133333333333334
452,2,100,0,logistic,46,0.8048780487804879
453,3,100,0,logistic,46,0.7911111111111111
454,4,100,0,logistic,46,0.8470066518847007
455,5,100,0,logistic,46,0.7888888888888889
456,6,100,0,logistic,46,0.8137472283813747
457,7,100,0,logistic,46,0.82
458,8,100,0,logistic,46,0.8403547671840355
459,9,100,0,logistic,46,0.7911111111111111
460,0,100,0,logistic,47,0.8536585365853658
461,1,100,0,logistic,47,0.8133333333333334
462,2,100,0,logistic,47,0.8270509977827051
463,3,100,0,logistic,47,0.8133333333333334
464,4,100,0,logistic,47,0.8381374722838137
465,5,100,0,logistic,47,0.8244444444444444
466,6,100,0,logistic,47,0.8270509977827051
467,7,100,0,logistic,47,0.8333333333333334
468,8,100,0,logistic,47,0.8314855875831486
469,9,100,0,logistic,47,0.8133333333333334
470,0,100,0,logistic,48,0.8181818181818182
471,1,100,0,logistic,48,0.8355555555555556
472,2,100,0,logistic,48,0.8337028824833703
473,3,100,0,logistic,48,0.8111111111111111
474,4,100,0,logistic,48,0.8337028824833703
475,5,100,0,logistic,48,0.8355555555555556
476,6,100,0,logistic,48,0.8292682926829268
