,fold,layer_size,momentum_value,activation_value,feature_number,score
424,4,100,0,relu,43,0.7960088691796009
425,5,100,0,relu,43,0.7822222222222223
426,6,100,0,relu,43,0.802660753880266
427,7,100,0,relu,43,0.7844444444444445
428,8,100,0,relu,43,0.7827050997782705
429,9,100,0,relu,43,0.7977777777777778
430,0,100,0,relu,44,0.7893569844789357
431,1,100,0,relu,44,0.7977777777777778
432,2,100,0,relu,44,0.835920177383592
433,3,100,0,relu,44,0.8133333333333334
434,4,100,0,relu,44,0.7760532150776053
435,5,100,0,relu,44,0.7844444444444445
436,6,100,0,relu,44,0.7982261640798226
437,7,100,0,relu,44,0.8044444444444444
438,8,100,0,relu,44,0.8137472283813747
439,9,100,0,relu,44,0.8266666666666667
440,0,100,0,relu,45,0.8070953436807096
441,1,100,0,relu,45,0.8288888888888889
442,2,100,0,relu,45,0.7937915742793792
443,3,100,0,relu,45,0.7977777777777778
444,4,100,0,relu,45,0.7694013303769401
445,5,100,0,relu,45,0.7844444444444445
446,6,100,0,relu,45,0.7827050997782705
447,7,100,0,relu,45,0.7955555555555556
448,8,100,0,relu,45,0.7804878048780488
449,9,100,0,relu,45,0.8022222222222222
450,0,100,0,relu,46,0.7760532150776053
451,1,100,0,relu,46,0.8111111111111111
452,2,100,0,relu,46,0.811529933481153
453,3,100,0,relu,46,0.8244444444444444
454,4,100,0,relu,46,0.8226164079822617
455,5,100,0,relu,46,0.8111111111111111
456,6,100,0,relu,46,0.8159645232815964
457,7,100,0,relu,46,0.8044444444444444
458,8,100,0,relu,46,0.7339246119733924
459,9,100,0,relu,46,0.7911111111111111
460,0,100,0,relu,47,0.7893569844789357
461,1,100,0,relu,47,0.8066666666666666
462,2,100,0,relu,47,0.8203991130820399
463,3,100,0,relu,47,0.8111111111111111
464,4,100,0,relu,47,0.8203991130820399
465,5,100,0,relu,47,0.8288888888888889
466,6,100,0,relu,47,0.8270509977827051
467,7,100,0,relu,47,0.8288888888888889
468,8,100,0,relu,47,0.7960088691796009
469,9,100,0,relu,47,0.8111111111111111
470,0,100,0,relu,48,0.7738359201773836
471,1,100,0,relu,48,0.7977777777777778
472,2,100,0,relu,48,0.7716186252771619
473,3,100,0,relu,48,0.8244444444444444
474,4,100,0,relu,48,0.8137472283813747
475,5,100,0,relu,48,0.8222222222222222
476,6,100,0,relu,48,0.8070953436807096
477,7,100,0,relu,48,0.8066666666666666
478,8,100,0,relu,48,0.835920177383592
479,9,100,0,relu,48,0.8266666666666667
480,0,100,0,relu,49,0.8159645232815964
481,1,100,0,relu,49,0.82
482,2,100,0,relu,49,0.8248337028824834
483,3,100,0,relu,49,0.7977777777777778
484,4,100,0,relu,49,0.8137472283813747
485,5,100,0,relu,49,0.7866666666666666
486,6,100,0,relu,49,0.8314855875831486
487,7,100,0,relu,49,0.8333333333333334
488,8,100,0,relu,49,0.7893569844789357
489,9,100,0,relu,49,0.8266666666666667
490,0,100,0,relu,50,0.8048780487804879
491,1,100,0,relu,50,0.8511111111111112
492,2,100,0,relu,50,0.811529933481153
493,3,100,0,relu,50,0.8177777777777778
494,4,100,0,relu,50,0.8314855875831486
495,5,100,0,relu,50,0.8511111111111112
496,6,100,0,relu,50,0.8137472283813747
497,7,100,0,relu,50,0.8022222222222222
498,8,100,0,relu,50,0.7982261640798226
499,9,100,0,relu,50,0.8266666666666667
500,0,100,0,relu,51,0.8603104212860311
501,1,100,0,relu,51,0.8
502,2,100,0,relu,51,0.7960088691796009
503,3,100,0,relu,51,0.8177777777777778
504,4,100,0,relu,51,0.7760532150776053
505,5,100,0,relu,51,0.8155555555555556
506,6,100,0,relu,51,0.8470066518847007
507,7,100,0,relu,51,0.8044444444444444
508,8,100,0,relu,51,0.7827050997782705
509,9,100,0,relu,51,0.8377777777777777
510,0,100,0,relu,52,0.8137472283813747
511,1,100,0,relu,52,0.8111111111111111
512,2,100,0,relu,52,0.8381374722838137
513,3,100,0,relu,52,0.8266666666666667
